"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"event_or_period"
"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"Tajikistan / TadzhSSR";"103732";"1965_6";"Locations, Locations";"past: early Soviet";NA;NA;"nacional'no-gosudarstvennye razmezhevanija v Srednej Azii 1920x"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"ravninnye oblasti Tadzh. / plainland regions of Tajikistan";"115389";"1955_3";"Tajikistan / TadzhSSR, Tajikistan / TadzhSSR";"present";"Factual Statement by Author";"Rupture";"massovye pereselenija / forced resettlements 1940s-early 1950s"
"Golodnaja i Dal'verzinskaja step'";"tadzhiki-matchincy";"131404";"1990_2";"Ferghana / Ferganskaja dolina, groups in mountainous regions";NA;"Factual Statement by Author";NA;"massovye pereselenija / forced resettlements 1960s - 1970s"
"Golodnaja i Dal'verzinskaja step'";"tadzhiki-matchincy";"131404";"1990_2";"Ferghana / Ferganskaja dolina, groups in mountainous regions";NA;"Factual Statement by Author";NA;"process urbanizacii / urbanizacija"
"Golodnaja i Dal'verzinskaja step'";"tadzhiki Jagnoba / Tajiks of Yaghnob";"131404";"1990_2";"Ferghana / Ferganskaja dolina, groups in mountainous regions";NA;"Factual Statement by Author";NA;"massovye pereselenija / forced resettlements 1960s - 1970s"
"Golodnaja i Dal'verzinskaja step'";"tadzhiki Jagnoba / Tajiks of Yaghnob";"131404";"1990_2";"Ferghana / Ferganskaja dolina, groups in mountainous regions";NA;"Factual Statement by Author";NA;"process urbanizacii / urbanizacija"
"tadzhiki Jagnoba / Tajiks of Yaghnob";"tadzhiki-matchincy";"131404";"1990_2";"groups in mountainous regions, groups in mountainous regions";NA;"Factual Statement by Author";NA;"massovye pereselenija / forced resettlements 1960s - 1970s"
"tadzhiki Jagnoba / Tajiks of Yaghnob";"tadzhiki-matchincy";"131404";"1990_2";"groups in mountainous regions, groups in mountainous regions";NA;"Factual Statement by Author";NA;"process urbanizacii / urbanizacija"
"jagnobcy / Yaghnobis";"roshorvcy";"141823";"1989_5";"Pamir groups, groups in mountainous regions";NA;"Factual Statement by Author";NA;"massovye pereselenija / forced resettlements 1960s - 1970s"
"bartangcy";"roshorvcy";"141823";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"massovye pereselenija / forced resettlements 1960s - 1970s"
"jazgulemcy";"roshorvcy";"141823";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"massovye pereselenija / forced resettlements 1960s - 1970s"
"bartangcy";"jagnobcy / Yaghnobis";"141823";"1989_5";"groups in mountainous regions, Pamir groups";NA;"Factual Statement by Author";NA;"massovye pereselenija / forced resettlements 1960s - 1970s"
"jagnobcy / Yaghnobis";"jazgulemcy";"141823";"1989_5";"groups in mountainous regions, Pamir groups";NA;"Factual Statement by Author";NA;"massovye pereselenija / forced resettlements 1960s - 1970s"
"bartangcy";"jazgulemcy";"141823";"1989_5";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"massovye pereselenija / forced resettlements 1960s - 1970s"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"verkhovya Matchi";"171363";"1982_5";"gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan, Tajikistan / TadzhSSR";"present";"Factual Statement by Author";"Rupture";"massovye pereselenija / forced resettlements 1960s - 1970s"
"Leninabadskij rajon / oblast' / kraj";"tadzhikskij khlopkovodcheskij kolkhoz v Chkalovske";"207461";"1955_4";"Northern Tajikistan, Leninabadskij rajon / oblast' / kraj";"present";NA;NA;"construction of Bol'shoj Ferganskij kanal 1938-1940"
"gornye tadzhiki";"ravninnye tadzhiki";"327164";"1987_1";"groups in plainland regions, groups in mountainous regions";"past: early Soviet";"Factual Statement by Author";NA;"process nacional'noj konsolidacii tadzhikskogo naroda"
"naselenie / zhiteli Sovetskogo Badakhshana";"tadzhiki";"345078";"1963_1";"Groups, Pamir groups";"present";"Factual Statement by Author";NA;"process nacional'noj konsolidacii tadzhikskogo naroda"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"Vakhio-Bolo";"351291";"1971_2";"pritoki r. Vakhsh, Tajikistan / TadzhSSR";"past: Stalinist era / 1930s-40s";NA;"Rupture";"gody kollektivizacii"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"Vakhio-Bolo";"351291";"1971_2";"pritoki r. Vakhsh, Tajikistan / TadzhSSR";"past: Stalinist era / 1930s-40s";NA;"Rupture";"massovye pereselenija / forced resettlements late 1920s-1930s"
"gorcy Tadzhikistana / mountaineers of Tajikistan";"Vakhio-Bolo";"351291";"1971_2";"pritoki r. Vakhsh, gornye tadzhiki";"past: Stalinist era / 1930s-40s";NA;"Rupture";"gody kollektivizacii"
"gorcy Tadzhikistana / mountaineers of Tajikistan";"Vakhio-Bolo";"351291";"1971_2";"pritoki r. Vakhsh, gornye tadzhiki";"past: Stalinist era / 1930s-40s";NA;"Rupture";"massovye pereselenija / forced resettlements late 1920s-1930s"
"ravninnye oblasti Tadzh. / plainland regions of Tajikistan";"Vakhio-Bolo";"351291";"1971_2";"pritoki r. Vakhsh, Tajikistan / TadzhSSR";"past: Stalinist era / 1930s-40s";NA;"Rupture";"gody kollektivizacii"
"ravninnye oblasti Tadzh. / plainland regions of Tajikistan";"Vakhio-Bolo";"351291";"1971_2";"pritoki r. Vakhsh, Tajikistan / TadzhSSR";"past: Stalinist era / 1930s-40s";NA;"Rupture";"massovye pereselenija / forced resettlements late 1920s-1930s"
"gorcy Tadzhikistana / mountaineers of Tajikistan";"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"351291";"1971_2";"Tajikistan / TadzhSSR, gornye tadzhiki";"past: Stalinist era / 1930s-40s";NA;"Rupture";"gody kollektivizacii"
"gorcy Tadzhikistana / mountaineers of Tajikistan";"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"351291";"1971_2";"Tajikistan / TadzhSSR, gornye tadzhiki";"past: Stalinist era / 1930s-40s";NA;"Rupture";"massovye pereselenija / forced resettlements late 1920s-1930s"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"ravninnye oblasti Tadzh. / plainland regions of Tajikistan";"351291";"1971_2";"Tajikistan / TadzhSSR, Tajikistan / TadzhSSR";"past: Stalinist era / 1930s-40s";NA;"Rupture";"gody kollektivizacii"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"ravninnye oblasti Tadzh. / plainland regions of Tajikistan";"351291";"1971_2";"Tajikistan / TadzhSSR, Tajikistan / TadzhSSR";"past: Stalinist era / 1930s-40s";NA;"Rupture";"massovye pereselenija / forced resettlements late 1920s-1930s"
"gorcy Tadzhikistana / mountaineers of Tajikistan";"ravninnye oblasti Tadzh. / plainland regions of Tajikistan";"351291";"1971_2";"gornye tadzhiki, Tajikistan / TadzhSSR";"past: Stalinist era / 1930s-40s";NA;"Rupture";"gody kollektivizacii"
"gorcy Tadzhikistana / mountaineers of Tajikistan";"ravninnye oblasti Tadzh. / plainland regions of Tajikistan";"351291";"1971_2";"gornye tadzhiki, Tajikistan / TadzhSSR";"past: Stalinist era / 1930s-40s";NA;"Rupture";"massovye pereselenija / forced resettlements late 1920s-1930s"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"39263";"1961_4";"Groups, Pamir groups";"present";"Factual Statement by Author";NA;"massovye pereselenija / forced resettlements 1940s-early 1950s"
