"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"narrative"
"tadzhiki";"vandzhcy / vandzhi / vanchcy";"101108";"1965_6";"Groups, Pamir groups";"past: pre-Soviet";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"jazgulemcy";"tadzhiki";"102626";"1965_6";"Groups, Pamir groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"Central Asia / Srednjaja Azija";"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"102750";"1955_3";"Leninabadskij rajon / oblast' / kraj, Locations";"past: early Soviet";"Correction of cited research or literature";NA;"modernization / socialist progress"
"Central Asia / Srednjaja Azija";"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"102750";"1955_3";"Leninabadskij rajon / oblast' / kraj, Locations";"present";"Correction of cited research or literature";NA;"modernization / socialist progress"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"Ferghana / Ferganskaja dolina";"102750";"1955_3";"Leninabadskij rajon / oblast' / kraj, Northern Tajikistan";"past: early Soviet";"Correction of cited research or literature";NA;"modernization / socialist progress"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"Ferghana / Ferganskaja dolina";"102750";"1955_3";"Leninabadskij rajon / oblast' / kraj, Northern Tajikistan";"present";"Correction of cited research or literature";NA;"modernization / socialist progress"
"Central Asia / Srednjaja Azija";"Ferghana / Ferganskaja dolina";"102750";"1955_3";"Locations, Northern Tajikistan";"past: early Soviet";"Correction of cited research or literature";NA;"modernization / socialist progress"
"Central Asia / Srednjaja Azija";"Ferghana / Ferganskaja dolina";"102750";"1955_3";"Locations, Northern Tajikistan";"present";"Correction of cited research or literature";NA;"modernization / socialist progress"
"narodnosti Zapadnogo Pamira";"tadzhiki";"103286";"1965_6";"Pamir groups, Groups";"past: early Soviet";"Factual Statement by Author";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"Gorno-Badakhshan / GBAO";"Tajikistan / TadzhSSR";"103732";"1965_6";"Locations, Locations";"past: early Soviet";NA;NA;"slijanie / sblizhenie / fusion / convergence"
"Gorno-Badakhshan / GBAO";"Tajikistan / TadzhSSR";"104003";"1965_6";"Locations, Locations";"past: early Soviet";"Factual Statement by Author";NA;"socialist internationalism / druzhba narodov"
"Gorno-Badakhshan / GBAO";"Tajikistan / TadzhSSR";"104003";"1965_6";"Locations, Locations";"past: early Soviet";"Factual Statement by Author";NA;"modernization / socialist progress"
"Gorno-Badakhshan / GBAO";"Soviet Union";"104126";"1965_6";"Locations, Locations";"past: early Soviet";NA;NA;"slijanie / sblizhenie / fusion / convergence"
"Gorno-Badakhshan / GBAO";"Soviet Union";"104126";"1965_6";"Locations, Locations";"past: early Soviet";NA;NA;"modernization / socialist progress"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"104610";"1971_4";"Groups, Pamir groups";"present";"Factual Statement by Author";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"104610";"1971_4";"Groups, Pamir groups";"past: early Soviet";"Factual Statement by Author";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"104947";"1989_5";"Groups, Pamir groups";NA;"Factual Statement by Author";NA;"forced assimilation / otadzhikovanie"
"evrei / Jews";"gorodskoe naselenie Tadzhikistana";"107066";"1962_3";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
